Address,Size,Type,Decompiled,Library,Obj,Name
800210D0,00008C,F,F,,,Activate__26CPatternedCollisionManagerFR13CStateManagerUc
80021160,00008C,F,F,,,Suspend__26CPatternedCollisionManagerFR13CStateManagerUc
800211F0,00008C,F,F,,,Deactivate__26CPatternedCollisionManagerFR13CStateManagerUc
80021280,000034,F,F,,,GetActivationState__26CPatternedCollisionManagerCFUc
800212C0,0001D4,F,F,,,Update__26CPatternedCollisionManagerFR13CStateManagerfQ222CCollisionActorManager14EUpdateOptions
800214A0,000078,F,F,,,GetNumCollisionActors__26CPatternedCollisionManagerCFUc
80021520,0000E4,F,F,,,CollisionActor__26CPatternedCollisionManagerFR13CStateManagerUiUc
80021610,000004,F,F,,,GetCollisionActor__26CPatternedCollisionManagerCFRC13CStateManagerUiUc
80021620,0000A0,F,F,,,FindCollisionActor__26CPatternedCollisionManagerCF9TUniqueId
800216C0,000034,F,F,,,GetCollisionActorManager__26CPatternedCollisionManagerCFUc
80021700,000378,F,F,,,
80021A80,0000D8,F,F,,,SetCollisionSetVulnerability__26CPatternedCollisionManagerFR13CStateManagerUcRC20CDamageVulnerability
80021B60,000128,F,F,,,
80021C90,000178,F,F,,,SetCollisionSetMaterials__26CPatternedCollisionManagerFR13CStateManagerUcRC13CMaterialListQ226CPatternedCollisionManager12EMaterialAdd
80021E10,000108,F,F,,,
80021F20,000198,F,F,,,SetCollisionSetMaterialFilter__26CPatternedCollisionManagerFR13CStateManagerUcRC15CMaterialFilter
80021FA0,000118,F,F,,,
800220C0,000078,F,F,,,
80022140,0000D0,F,F,,,
80022210,000078,F,F,,,
80022290,00015C,F,F,,,
800223F0,0000F0,F,F,,,
800224E0,00026C,F,F,,,__ct__14CPatternedInfoFRC22SLdrPatternedAITypedef
80022750,00014C,F,F,,,__ct__22SLdrPatternedAITypedefFv
800228A0,000080,F,F,,,__dt__22SLdrPatternedAITypedefFv
80022920,000578,F,F,,,LoadTypedefPatternedAITypedef__FR22SLdrPatternedAITypedefR12CInputStream
80022EA0,000470,F,F,,,
80023310,0001BC,F,F,,,
800234D0,000268,F,F,,,
80023740,000064,F,F,,,
800237B0,000074,F,F,,,
80023830,000064,F,F,,,
800238A0,000064,F,F,,,
80023910,000118,F,F,,,
80023A30,00004C,F,F,,,
80023A80,000008,F,F,,,
80023A90,000008,F,F,,,
80023AA0,000008,F,F,,,
80023AB0,000048,F,F,,,
80023B00,0000AC,F,F,,,
80023BB0,00000C,F,F,,,
80023BC0,0000B4,F,F,,,
80023C80,000194,F,F,,,
80023E20,00013C,F,F,,,
80023F60,000114,F,F,,,
80024080,000008,F,F,,,
80024090,000008,F,F,,,
800240A0,000048,F,F,,,
800240F0,000014,F,F,,,
80024110,000014,F,F,,,
80024130,000008,F,F,,,
80024140,000040,F,F,,,
80024180,000030,F,F,,,
800241B0,000078,F,F,,,
80024230,000090,F,F,,,
800242C0,000040,F,F,,,
80024300,000088,F,F,,,
80024390,0000A0,F,F,,,
80024430,0000FC,F,F,,,
80024530,00008C,F,F,,,
800245C0,0000A0,F,F,,,
80024660,000534,F,F,,,
80024BA0,000084,F,F,,,
80024C30,000064,F,F,,,
80024CA0,000974,F,F,,,
80025620,000074,F,F,,,
800256A0,000098,F,F,,,
80025740,000064,F,F,,,
800257B0,000088,F,F,,,
80025840,0005F4,F,F,,,
